Date de création,Type,Catégorie,Équipe,Produit,Ligne,Famille,Défaut,Qte défaut,"Phase d'origine",Phase de détection
2025-04-22,Scrap,process,A Midi,503.908,DCK,DCK,Balai bloqué,1,Insertion balai / self,Insertion balai / self
2025-04-22,Scrap,formation,A Midi,V420284 SIM ELEC,Sim Elec,SIM ELEC,boitier cassé,8,insertion automatique de s/e,insertion automatique de s/e
2025-04-22,Scrap,process,A Midi,SIM II,sim 2,SIM,marquage illisible,2,test electrique,test electrique
2025-04-22,Scrap,process,A Midi,SIM II,sim 2,SIM,boitier cassé,5,insertion rotule,insertion rotule
2025-04-22,Scrap,reglage,A Midi,SIM II,sim 2,SIM,boitier cassé,13,insertion rotule,insertion rotule
2025-04-22,Scrap,reglage,A Midi,CM4-NL,CM3-CM4 Ligne 2,CM4,vernis sur boitier,2,Vernissage automatique,Vernissage automatique
2025-04-22,Scrap,process,A Midi,CM4-NL,CM3-CM4 Ligne 2,CM4,Boitier endommagé,1,TE,TE
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Double marquage,4,Test électrique Flex 2,Test électrique Flex 2
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Double marquage,1,Test électrique Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame déformée,2,Insertion lame/balai sur boitier_Flex 2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,16,Insertion lame/balai sur boitier_Flex 2,Mise en place self / shunt Flex-2
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Soudure self éclaté,1,Mise en place self / shunt Flex-2,poste de contrôle final Flex 2
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Soudure self  écrasée,10,Mise en place self / shunt Flex-2,MEP condo  + Retournement boitier
2025-04-22,Scrap,process,Nuit,PPC FLEX,Flex2,FLEX,Lame mal sertie,2,Insertion lame/balai sur boitier_Flex 2,MEP condo  + Retournement boitier
2025-04-22,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Mauvaise marquage,1,Test force GENIIC,Test force GENIIC
2025-04-22,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 1 et self 1,Controle Finale GENII C
2025-04-22,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure PTH contact negative écrasé,1,soudure électrique contact GND et PTH,Controle Finale GENII C
2025-04-22,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique contact GND et PTH,Test force GENIIC
2025-04-23,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,4,insertion rotule,insertion rotule
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,1,soudure électrique rivet et 3éme self,soudure électrique rivet et 3éme self
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,pth cassé,2,soudure électrique PTH & PDM,boutrollage et test électrique et caméra
2025-04-23,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,11,Sertissage automatique des pin 2&4,Chargement & déchargement boitier
2025-04-23,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure self / contact décalé,2,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact","Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact"
2025-04-23,Scrap,reglage,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,muret cassée,4,Verrouillage self / tresse,Déchargement palette
2025-04-23,Scrap,process,Matin,PIERBURG SKP42,PIERBURG SKP42,PIERBURG SKP42,Soudure self / PTH écrasé,2,"Soudure électrique self/contact, self/thermoswitch et thermoswitch/contact",Controle final et emballage
2025-04-23,Scrap,process,Matin,PPC First plastique,F.P,FIRST PLASTIQUE,Self déformée,32,Verrouillage self / tresse,Déchargement palette
2025-04-23,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,flux sur tour,2,robot de brasage,robot de brasage
2025-04-23,Scrap,process,Matin,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,4,robot de brasage,robot de brasage
2025-04-23,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,7,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,contact déformé,1,montage composants sur convoyeur,boutrollage et test électrique et caméra
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique rivet et 3éme self,soudure électrique rivet et 3éme self
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,soudure écrasé,3,soudure tresse/self M1,soudure tresse/self M1
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HOARAIRE,VM4 AUTO I,VM4,bakélite cassé,2,montage composants sur convoyeur,soudure électrique PTH & PDM
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,bakélite cassé,2,montage composants sur convoyeur,soudure électrique PTH & PDM
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,soudure écrasé,2,soudure électrique 3éme self & PTH,soudure électrique 3éme self & PTH
2025-04-23,Scrap,process,Matin,PPC VM4/ANTI HORAIRE,VM4 AUTO I,VM4,reteneur.. cassé,5,montage composants sur convoyeur,montage composants sur convoyeur
2025-04-23,Scrap,reglage,Matin,PPC GEN2,GEN2 Réversible,GEN2 REVERSIBLE,Boitier cassé,4,test electrique et controle caméra,test electrique et controle caméra
2025-04-23,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,balai bloqué,1,sertissage guides GEN2 C,Test force GENIIC
2025-04-23,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 2 et self 2,Controle Finale GENII C
2025-04-23,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (1) endommagé,1,Soudure fourchette 1 CM3,Controle Final
2025-04-23,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (3) endommagé,2,Soudure fourchette 3 CM3,Controle Final
2025-04-23,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,1,soudure électrique balais 2 et self 2,Controle Finale GENII C
2025-04-23,Scrap,process,Matin,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,balai bloqué,1,sertissage guides GEN2 C,Test force GENIIC
2025-04-23,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self éclaté,2,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-23,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Lame déformée,5,Assemblage balai / Lame ressort,controle finale Flex 2 partie A
2025-04-23,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,marquage décalé,3,Test électrique Flex 2,Test électrique Flex 2
2025-04-23,Scrap,process,Matin,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,5,soudure électrique self / shunt  sur lame Flex2,MEP condo  + PTH + Retournement boitier Flex 2
2025-04-23,Scrap,process,Matin,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,Test électrique,POSTE DE CONTRÔLE PARTIE B
2025-04-23,Scrap,reglage,A Midi,VM4 Tower,VM4 Partie A,VM4,Tour brûlée,5,robot  de brasage,robot  de brasage
2025-04-23,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,ergot cassé,5,Mise en place des ressorts,Mise en place des ressorts
2025-04-23,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,patte de masse tordue,18,Boutollage PDM,Mise en place des ressorts
2025-04-23,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,boitier cassé,10,Enfonçage de la rotule sur le boîtier,MEP joint et retournement pièce
2025-04-23,Scrap,process,Matin,BC NEM II,NEM 2 dup,NEM2,marquage illisible,8,identification de pièce par marquage,identification de pièce par marquage
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvaise marquage,3,Test électrique,Test électrique
2025-04-23,Scrap,process,A Midi,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (3) endommagé,4,Soudure fourchette 3 CM3,poste conformage
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Patte de masse déformée,1,Chargement - déchargement boitiersur palette,Controle finale partie B
2025-04-23,Scrap,process,A Midi,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (1) endommagé,2,Soudure fourchette 1 CM3,poste conformage
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Marquage décalé,1,Test électrique,Test électrique
2025-04-23,Scrap,process,A Midi,CM3,CM3-CM4 Ligne 1,CM4,vernis sur boitier,2,Poste de vernissage auto,poste contrôle vernis
2025-04-23,Scrap,process,A Midi,505-931,DCK,DCK,Guide écrasée,3,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-23,Scrap,process,A Midi,505-931,DCK,DCK,balai cassé,3,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-23,Scrap,process,A Midi,505-931,DCK,DCK,Bakelite cassé,3,insertion guide chargé (ressort/balai) dans la palette,insertion guide chargé (ressort/balai) dans la palette
2025-04-23,Scrap,process,A Midi,505-931,DCK,DCK,soudure self connexion2 écrsé,2,soudure self /terminal 2,soudure self /terminal 2
2025-04-23,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (2) endommagé,1,soudure fourchette /ICH/ resistance/ condo,test electrique
2025-04-23,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (1) endommagé,1,soudure fourchette /ICH/ condo,test electrique
2025-04-23,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,Fourchette (3) endommagé,1,soudure fourchette /ICHall/ resistance,test electrique
2025-04-23,Scrap,process,A Midi,CM4-Ligne 2,CM3-CM4 Ligne 2,CM4,PDM endommagée,1,soudure etain automatique,controle etain +rework
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Balai mal serti,83,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Languette tordue,2,Chargement - déchargement boitiersur palette,"Soudure à l'étain"
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Balai cassé,22,Assemblage balai / Lame ressort,Insertion lame/balai sur boitier
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,4,soudure électrique self sur lame,MEP condo  + Retournement boitier
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,2,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-23,Scrap,process,A Midi,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,3,Bouterollage lame balai sur boitier,Mise en place condo axial
2025-04-23,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvais bouterollage lame balai /boitier,4,Sertissage lamme boitier et boutrollage Flex-2,Mise en place condo axial-Flex2
2025-04-23,Scrap,reglage,A Midi,PPC FLEX 2,Flex2,FLEX,Mauvaise  marquage,3,Test électrique Flex 2,Chargement et déchargement boitier sur palette_Flex 2
2025-04-23,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Patte de masse déformée,1,Chargement et déchargement boitier sur palette_Flex 2,controle finale Flex 2 partie A
2025-04-23,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Boîtier cassé,2,Soudure condo axiale flex 2,Controle soudure condo axiale et boutrollage
2025-04-23,Scrap,reglage,A Midi,11TA,11TA1,Engine Cooling,soudure faix éclaté,3,soudure  fil N°1,soudure  fil N°1
2025-04-23,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,Soudure self  écrasée,6,soudure électrique self / shunt  sur lame Flex2,Controle finale Flex 2 partie B
2025-04-23,Scrap,process,A Midi,PPC FLEX 2,Flex2,FLEX,soudure condo écrasé,2,Soudure condo axiale flex 2,Controle soudure condo axiale et boutrollage
2025-04-23,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Balais cassé,42,montage self/balais sur boitier,controle préparation
2025-04-23,Scrap,process,A Midi,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,12,Sertissage automatique des pin 2&4,Chargement & déchargement boitier
2025-04-23,Scrap,reglage,A Midi,SIM II,sim 2,SIM,boitier cassé,61,insertion rotule,insertion rotule
2025-04-23,Scrap,reglage,A Midi,11TA,11TA1,Engine Cooling,soudure self écrasé,4,soudure self N°1,soudure self N°1
2025-04-23,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,plaquette cassée,1,Poste sertissage Guide/Plaquette,Poste sertissage Guide/Plaquette C
2025-04-23,Scrap,process,A Midi,PPC MNG2 2L2C,Mng 2.1,MNG,"piste à l'envers",2,Poste sertissage Guide/Plaquette,Poste sertissage Guide/Plaquette
2025-04-23,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Murée cassé,3,Test électrique et controle caméra GENII C,Controle Finale GENII C
2025-04-23,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Soudure self éclaté,1,soudure électrique balais 1 et self 1,soudure électrique balais 1 et self 1
2025-04-23,Scrap,process,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,soudure self terminals décalée,1,soudure self terminals,Controle Finale GENII C
2025-04-23,Scrap,defaut,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,contact EMC déformé,2,Controle Finale GENII C,Controle Finale GENII C
2025-04-23,Scrap,formation,Nuit,PPC GEN2 C,GEN2 Continue,GEN2 CONTINUE,Mauvaise marquage,1,Test force GENIIC,Test force GENIIC
2025-04-24,Scrap,process,Matin,Préparation CM3 réf 779,Preparation CM3,CM3,Boitier endommagé,6,Sertissage automatique des pin 2&4,Chargement & déchargement boitier
2025-04-24,Scrap,reglage,Matin,SIM II,sim 2,SIM,boitier cassé,25,insertion rotule,insertion rotule
2025-04-24,Scrap,process,Matin,BACK UP ANTENNA K0,back up antenna,BACK UP ANTENNA,Fil débobiné,1,BUA controle vision,BUA Soudure étain des terminals
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,soudure condo écrasé,3,soudure électrique condo sur lame,Montage self / lame
2025-04-24,Scrap,process,Matin,CM3,CM3-CM4 Ligne 1,CM4,Fourchette (3) endommagé,1,Soudure fourchette 3 CM3,Controle Final
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Marquage décalé,4,Test électrique,Test électrique
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Mauvais bouterollage lame balai,2,Sertissage lamme boitier et boutrollage,Boutrollage condo axial
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Boîtier cassé,3,soudure électrique condo sur lame,Montage self / lame
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,Soudure self  écrasée,5,MEP condo  + Retournement boitier,soudure électrique self sur lame
2025-04-24,Scrap,process,Matin,PPC FLEX 1,Flex1,FLEX,mauvaise bouterollage condo axial,4,Boutrollage condo axial,Montage self / lame
